Spiller,Kamper,År
Gunnar Wernersen,15,1957
Odd Rikardsen,22,1957
Per Nicolaysen,20,1957
Freddy Olsen,13,1957
Arne Moum,10,1957
Reidar Trulsen,15,1957
Arne Wernersen,21,1957
Kjell Storhaug,17,1957
Tor Dahl,21,1957
Fingar Fingarsen,7,1957
Oddvar Wernersen,13,1957
Torbjørn Johansen,1,1957
Gunnar Olsen,3,1957
Kjell Karlsen,18,1957
Arne Arntsen,8,1957
Finn Wernersen,4,1957
Trond Karstensen,1,1957
Knut Nilsen,14,1957
Reidar Hansen,1,1957
Kjell Hermansen,13,1957
Tor Vehler,2,1957
Tor Trulsen,7,1957
Hans Thorvaldsen,14,1958
Kjell Hermansen,24,1958
Per Nicolaysen,19,1958
Tor Dahl,23,1958
Tor Trulsen,12,1958
Reidar Trulsen,24,1958
Odd Rikardsen,17,1958
Kjell Storhaug,23,1958
Trond Karstensen,10,1958
Kai Kvarud,17,1958
Ivar Gulbrandsen,1,1958
Kjell Karlsen,22,1958
Arne Wernersen,23,1958
Freddy Olsen,17,1958
Jan Johansen,1,1958
Reidar Hansen,1,1958
Finn Wernersen,13,1958
Reidar Fauli,1,1958
Arne Arntsen,3,1958
Jan Johansen,4,1959
Kai Øistad,22,1959
Kjell Hermansen,21,1959
Per Nicolaysen,14,1959
Kjell Storhaug,21,1959
Kai Kvarud,23,1959
Trond Karstensen,12,1959
Arne Andersen,12,1959
Kjell Arnesen,3,1959
Leif Nygård,1,1959
Ivar Andersen,23,1959
Reidar Trulsen,15,1959
Reidar Hansen,13,1959
Odd Rikardsen,18,1959
Arne Wernersen,22,1959
Finn Wernersen,5,1959
Kjell Karlsen,21,1959
Freddy Olsen,3,1959
Fingar Fingarsen,11,1959
Dagfinn Jakobsen,1,1959
Arne Moum,3,1959
Kai Øistad,11,1960
Odd Rikardsen,16,1960
Arne Wernersen,22,1960
Reidar Hansen,11,1960
Kjell Karlsen,18,1960
Reidar Trulsen,19,1960
Kjell Holmen,2,1960
Kjell Arnesen,15,1960
Kjell Storhaug,8,1960
Kai Kvarud,14,1960
Ivar Andersen,16,1960
Odd Jonassen,4,1960
Per Nicolaysen,7,1960
Kjell Hermansen,3,1960
Reidar Kjølberg,3,1960
Egil Olsen,2,1960
Jan Johansen,6,1960
Fingar Fingarsen,17,1960
Leif Nygård,12,1960
Johnny Gundersen,1,1960
Knut Nilsen,18,1960
Arne Andersen,11,1960
Arne Arntsen,1,1960
Tor Nilsen,12,1960
Finn Wernersen,5,1960
Leif Nygård,3,1961
Tor Vehler,1,1961
Per Nicolaysen,20,1961
Fingar Fingarsen,24,1961
Kjell Karlsen,14,1961
Reidar Trulsen,22,1961
Bjørge Wernersen,8,1961
Oddvar Humlekjær,3,1961
Kjell Storhaug,25,1961
Kjell Arnesen,25,1961
Egil Olsen,6,1961
Reidar Hansen,3,1961
Bjørn Brevik,1,1961
Bjørn Olsen,1,1961
Finn Wernersen,1,1961
Jan Johansen,24,1961
Arne Wernersen,21,1961
Gunnar Jonstrøm,20,1961
Kai Kvarud,22,1961
Odd Rikardsen,6,1961
Gunnar Arnesen,5,1961
Oddvar Fauli,2,1961
Ivar Andersen,16,1961
Arne Arntsen,2,1961
Tor Nilsen,1,1961
Arne Moum,1,1961
Freddy Olsen,3,1961
Jan Johansen,26,1962
Arne Wernersen,20,1962
Reidar Trulsen,25,1962
Fingar Fingarsen,26,1962
Per Nicolaysen,24,1962
Ivar Andersen,26,1962
Bjørge Wernersen,11,1962
Kjell Arnesen,19,1962
Kjell Storhaug,26,1962
Kai Kvarud,25,1962
Johnny Jonstrøm,22,1962
Knut Nilsen,23,1962
Freddy Olsen,7,1962
Odd Jonassen,2,1962
Reidar Hansen,2,1962
Egil Olsen,2,1962
Jan Johansen,16,1963
Arne Wernersen,19,1963
Kjell Arnesen,12,1963
Fingar Fingarsen,21,1963
Per Nicolaysen,21,1963
Ivar Andersen,21,1963
Kai Kvarud,2,1963
Kjell Storhaug,22,1963
Reidar Trulsen,20,1963
Knut Nilsen,7,1963
Kai Øistad,15,1963
Ragnar Kristiansen,11,1963
Freddy Olsen,4,1963
Kåre Andersen,8,1963
Bjørge Wernersen,16,1963
Egil Olsen,4,1963
Odd Egil Eriksen,3,1963
Tor Arne Martinsen,1,1963
Kjell Karlsen,10,1963
Reidar Hansen,1,1963
Odd Rikardsen,1,1963
Ragnar Amundsen,4,1963
Leif Nygård,1,1963
Tor Nilsen,1,1963
Ragnar Amundsen,27,1964
Kai Øistad,16,1964
Tor Arne Martinsen,14,1964
Fingar Fingarsen,26,1964
Per Nicolaysen,26,1964
Ivar Andersen,26,1964
Kjell Arnesen,5,1964
Kjell Storhaug,23,1964
Knut Nilsen,5,1964
Kai Kvarud,26,1964
Arve Heie,18,1964
Kjell Karlsen,3,1964
Arne Wernersen,24,1964
Odd Egil Eriksen,24,1964
Bjørn Bjerke,4,1964
Henry Johansen,17,1964
Robert Andersen,1,1964
Gunnar Storhaug,1,1964
John Edgar Karlsen,7,1964
Ragnar Kristiansen,1,1964
Jan Johansen,11,1965
Arne Wernersen,29,1965
Odd Egil Eriksen,28,1965
Fingar Fingarsen,30,1965
Per Nicolaysen,25,1965
Kjell Storhaug,31,1965
Leif Nygård,3,1965
Kai Kvarud,30,1965
Bjørge Wernersen,26,1965
Arve Heie,21,1965
Robert Andersen,29,1965
Bård Karstensen,2,1965
Bjørn Bjerke,9,1965
Ivar Andersen,9,1965
Ragnar Amundsen,23,1965
Kjell Arnesen,2,1965
Tor Arne Martinsen,17,1965
John Edgar Karlsen,2,1965
Tor Nilsen,2,1965
Egil Olsen,1,1965
Jan Johansen,8,1966
Arne Wernersen,24,1966
Per Nicolaysen,26,1966
Kjell Storhaug,26,1966
Kai Kvarud,23,1966
Sverre Halvorsen,7,1966
Alf Andersen,24,1966
Johnny Gundersen,27,1966
Trond Martinussen,20,1966
Arve Heie,23,1966
Robert Andersen,8,1966
Fingar Fingarsen,27,1966
Egil Olsen,8,1966
Kjell Arnesen,7,1966
Bjørn Bjerke,22,1966
Bård Karstensen,8,1966
Leif Nygård,8,1966
Tor Arne Martinsen,8,1966
Tormod Larsen,1,1966
Bjørge Wernersen,7,1966
Jan Johansen,10,1967
Alf Andersen,11,1967
Arne Wernersen,23,1967
Odd Egil Eriksen,24,1967
Fingar Fingarsen,25,1967
Per Nicolaysen,1,1967
Ivar Andersen,20,1967
Kjell Arnesen,19,1967
Bjørn Bjerke,24,1967
Arve Heie,19,1967
Bjørge Wernersen,13,1967
Trond Martiniussen,11,1967
John Edgar Karlsen,4,1967
Tormod Larsen,1,1967
Brevik,4,1967
Yngvar Marthinsen,4,1967
Per Viktor Kristiansen,22,1967
Kai Kvarud,20,1967
Bård Karstensen,1,1967
Odd Rikardsen,2,1967
Tor Vehler,4,1967
Øyvind Lorentzen,1,1967
Øyvind Lorentzen,25,1968
Odd Egil Eriksen,28,1968
Bjørge B Johansen,11,1968
Bård Karstensen,7,1968
Fingar Fingarsen,26,1968
Per Nicolaysen,16,1968
Willy Robert Nilsen,28,1968
Kjell Arnesen,25,1968
John Edgar Karlsen,22,1968
Bjørn Bjerke,7,1968
Kai Kvarud,25,1968
Kjell Storhaug,28,1968
Arve Heie,25,1968
Tor Erik Jacobsen,21,1968
Bjørge Wernersen,2,1968
Trond Martiniussen,14,1968
Jan Johansen,3,1968
Reidar Trulsen,1,1968
Karl Johan Berg,12,1968
Håkon Hansen,1,1968
Tormod Larsen,1,1968
Øyvind Lorentzen,7,1969
Per Viktor Kristiansen,6,1969
Yngvar Marthinsen,31,1969
Willy Robert Nilsen,28,1969
Fingar Fingarsen,30,1969
Odd Egil Eriksen,30,1969
Kai Kvarud,31,1969
Kjell Storhaug,30,1969
Tormod Larsen,13,1969
Reidar Lindberg,7,1969
Alf Andersen,26,1969
Karl Johan Berg,18,1969
John Edgar Karlsen,6,1969
Tor Erik Jacobsen,21,1969
Per Nicolaysen,27,1969
Bjørge B Johansen,6,1969
Bård Karstensen,16,1969
Bjørge Wernersen,15,1969
Oddvar Fauli,2,1969
Jan Johansen,1,1969
Bjørn Bjerke,8,1969
Alf Andersen,22,1970
Kjell Storhaug,26,1970
Kai Kvarud,27,1970
Kjell Arnesen,23,1970
Åge Martinsen,24,1970
Øystein Thoresen,24,1970
Fingar Fingarsen,26,1970
Bjørn Bjerke,24,1970
Tor Erik Jacobsen,25,1970
Reidar Lindberg,3,1970
Øystein Nilsen,3,1970
Knut Olsen,2,1970
Jan Johansen,5,1970
Yngvar Marthinsen,22,1970
Oddvar Fauli,3,1970
Ivar Andersen,6,1970
Tormod Larsen,16,1970
John Johnsson,12,1970
Karl Johan Wahlberg,2,1970
Hardy Andresen,2,1970
Per Nicolaysen,5,1970
Karl Johan Berg,7,1970
Odd F Olsen,3,1970
Sveinung Oskarsen,1,1970
Bjørge Wernersen,6,1970
Odd Andersen,1,1970
